吃瓜	吃瓜 [吃瓜]
皺眉	皺眉 [皺眉] 🙁 😦 (･᷄ὢ･᷅) 🙍‍♂ 🙍 🙍‍♀ 🙍🏻‍♂️ 🙍🏼‍♂️ 🙍🏽‍♂️ 🙍🏾‍♂️ 🙍🏿‍♂️ 🙍🏻 🙍🏼 🙍🏽 🙍🏾 🙍🏿 🙍🏻‍♀️ 🙍🏼‍♀️ 🙍🏽‍♀️ 🙍🏾‍♀️ 🙍🏿‍♀️ ☹
失望	失望 😞
低落	低落 😞
著急	著急 😟
擔心	擔心 😟 😰 😥
焦慮	焦慮 😟 😰 😥
生氣	生氣 😤 😡 😠 🤯 💢 🤬 👿 😾 <(｀^´)> (ー`´ー) (*￣︿￣) ヽ(＊｀Д´)ノ (╬•᷅д•᷄╬) (ノ｀⊿´)ノ (*￣︿￣) ε=怒ε=怒ε=怒ε=怒ε=(o｀ω′)ノ （｀へ´） (｀д′) 🙎‍♂ 🙎 🙎‍♀ 🙎🏻‍♂️ 🙎🏼‍♂️ 🙎🏽‍♂️ 🙎🏾‍♂️ 🙎🏿‍♂️ 🙎🏻 🙎🏼 🙎🏽 🙎🏾 🙎🏿 🙎🏻‍♀️ 🙎🏼‍♀️ 🙎🏽‍♀️ 🙎🏾‍♀️ 🙎🏿‍♀️
氣炸	氣炸 🤯
心煩	心煩 😠
哭	哭 😢 😭 🥲 🥹 😿 ಥ_ಥ (*꒦ິ⌓꒦ີ) (இωஇ) థ౪థ (•̥́ˍ•̀ू) 〜(Ｔ△Ｔ〜)(〜Ｔ△Ｔ)〜 〒▽〒 (;´༎ຶД༎ຶ`) o(TヘTo) (ノへ￣、) ┭┮﹏┭┮
流淚	流淚 😢 😭 🥲 🥹 😿
